ObjectID,USER_District_Number,USER_District_Name,USER_District_Superintendent,USER_School_Number,Column2,USER_School_Name,USER_Instruction_Type,USER_NCES_School_ID,USER_School_City,USER_School_Principal,USER_Grade_Range,Enrollment,School_Type,Reading Not On Grade-Level,Math Not On Grade-Level,Attendance Rate,Chronic Absenteeism Rate,Teacher Count,Admin Count,Average Teacher Salary,Average Admin Salary,Campus Grade,Campus Score,,,
1024,'020902,ANGLETON ISD,MR PHILLIP EDWARDS   ,'020902103,20902103,SOUTHSIDE Elementary,REGULAR INSTRUCTIONAL,'480831000204,ANGLETON,MRS JERRI MCNEILL   ,'EE-05,304,Elementary School,47%,43%,94.80%,13.00%,25.4,2.3,65306,96413,B,85,,,
1028,'020902,ANGLETON ISD,MR PHILLIP EDWARDS   ,'020902104,20902104,WESTSIDE Elementary,REGULAR INSTRUCTIONAL,'480831000205,ANGLETON,MS ROBIN BRAUN   ,'EE-05,1029,Elementary School,36%,39%,95.90%,7.20%,69.7,3.7,65551,87162,B,87,,,
1027,'020902,ANGLETON ISD,MR PHILLIP EDWARDS   ,'020902108,20902108,RANCHO ISABELLA Elementary,REGULAR INSTRUCTIONAL,'480831005945,ANGLETON,STEPHANIE GAY   ,'EE-05,464,Elementary School,51%,52%,95.00%,12.70%,29.9,3.2,64528,78570,B,80,,,
1031,'020902,ANGLETON ISD,MR PHILLIP EDWARDS   ,'020902109,20902109,FRONTIER Elementary,REGULAR INSTRUCTIONAL,'480831021127,ANGLETON,STEPHANIE RAMIREZ   ,'EE-05,430,Elementary School,40%,42%,95.70%,8.70%,31.1,2,63894,87858,B,81,,,
1030,'020902,ANGLETON ISD,MR PHILLIP EDWARDS   ,'020902110,20902110,CENTRAL Elementary,REGULAR INSTRUCTIONAL,'480831012579,ANGLETON,AMBER MCCORMICK   ,'EE-05,533,Elementary School,44%,46%,95.20%,13.70%,34.3,4.2,65148,79926,B,84,,,
1029,'020902,ANGLETON ISD,MR PHILLIP EDWARDS   ,'020902111,20902111,HEARTLAND Elementary,REGULAR INSTRUCTIONAL,',ANGLETON,,'PK-05,0,Elementary School,.,.,.,.,.,.,.,.,?,?,,,
1032,'020904,DANBURY ISD,MIKE HOMANN   ,'020904001,20904001,DANBURY High School,REGULAR INSTRUCTIONAL,'481629001393,DANBURY,MRS KIMBERLY HICKL   ,'09-12,220,High School,34%,85%,94.10%,16.30%,22.3,1.9,68577,88842,B,85,,,
1033,'020904,DANBURY ISD,MIKE HOMANN   ,'020904002,20904002,BRAZORIA CO J J A E P,JJAEP INSTRUCTIONAL,'481629008454,DANBURY,MRS KIMBERLY HICKL   ,'07-12,0,High School,.,.,.,.,.,.,.,.,?,?,,,
1034,'020904,DANBURY ISD,MIKE HOMANN   ,'020904041,20904041,DANBURY Middle,REGULAR INSTRUCTIONAL,'481629005691,DANBURY,MRS KIMBERLY HICKL   ,'06-08,157,Middle School,32%,46%,95.10%,13.30%,11.8,1.9,64229,88842,B,80,,,
1036,'020904,DANBURY ISD,MIKE HOMANN   ,'020904101,20904101,DANBURY Elementary,REGULAR INSTRUCTIONAL,'481629001392,DANBURY,MRS ELIZABETH GUZMAN   ,'EE-05,297,Elementary School,49%,52%,95.20%,11.30%,22.8,2.4,66152,86250,B,89,,,
1042,'020905,BRAZOSPORT ISD,MR DANNY MASSEY   ,'020905001,20905001,BRAZOSPORT High School,REGULAR INSTRUCTIONAL,'481119000582,FREEPORT,MR QUINTON VIRGIL   ,'09-12,841,High School,57%,53%,90.30%,34.60%,72.9,3.3,65863,110683,B,83,,,
1038,'020905,BRAZOSPORT ISD,MR DANNY MASSEY   ,'020905002,20905002,BRAZOSWOOD High School,REGULAR INSTRUCTIONAL,'481119000584,FREEPORT,DR JARRETT JOHNSON   ,'09-12,2436,High School,51%,62%,91.50%,29.50%,167.8,11,65082,100195,B,81,,,
1037,'020905,BRAZOSPORT ISD,MR DANNY MASSEY   ,'020905004,20905004,LIGHTHOUSE LEARNING CENTER - DAEP,DAEP INSTRUCTIONAL,'481119007528,FREEPORT,HEBERT HERMAN   ,'01-12,-1,Elementary/Secondary,96%,100%,79.30%,56.80%,13,0.5,65694,101306,Not Rated,0,,,
1040,'020905,BRAZOSPORT ISD,MR DANNY MASSEY   ,'020905005,20905005,LIGHTHOUSE LEARNING CENTER - JJAEP,JJAEP INSTRUCTIONAL,'481119008710,FREEPORT,HERMAN HEBERT   ,'04-12,0,Elementary/Secondary,.,.,87.60%,46.90%,.,.,.,.,?,?,,,
1041,'020905,BRAZOSPORT ISD,MR DANNY MASSEY   ,'020905006,20905006,BRAZOS SUCCESS ACADEMY,ALTERNATIVE INSTRUCTIONAL,'481119008711,FREEPORT,MRS AMY POPE   ,'09-12,134,High School,84%,88%,69.00%,78.80%,10,1,69273,74886,C,77,,,
1039,'020905,BRAZOSPORT ISD,MR DANNY MASSEY   ,'020905007,20905007,BRAZOS HARBOR,ALTERNATIVE INSTRUCTIONAL,'481119022790,CLUTE,MR HERMAN HEBERT   ,'04-08,4,Middle School,0%,0%,.,.,1,0.5,72650,101306,Not Rated,0,,,
1043,'020905,BRAZOSPORT ISD,MR DANNY MASSEY   ,'020905041,20905041,CLUTE Intermediate,REGULAR INSTRUCTIONAL,'481119000586,FREEPORT,MRS TARA FULTON   ,'05-08,1002,Middle School,53%,61%,93.20%,23.30%,69.5,4,63562,92670,C,70,,,
1046,'020905,BRAZOSPORT ISD,MR DANNY MASSEY   ,'020905042,20905042,FREEPORT Intermediate,REGULAR INSTRUCTIONAL,'481119000588,FREEPORT,CHAROLET BLACK   ,'06-08,565,Middle School,56%,57%,93.10%,24.10%,37.8,3,64088,94094,D,60,,,
1044,'020905,BRAZOSPORT ISD,MR DANNY MASSEY   ,'020905043,20905043,LAKE JACKSON Intermediate,REGULAR INSTRUCTIONAL,'481119000589,FREEPORT,CHERYL ROBERTS   ,'07-08,698,Junior High School,39%,45%,93.30%,23.00%,53,4,63009,90600,B,88,,,
1048,'020905,BRAZOSPORT ISD,MR DANNY MASSEY   ,'020905101,20905101,S F AUSTIN Elementary,REGULAR INSTRUCTIONAL,'481119000579,FREEPORT,SHERI MINTER   ,'EE-06,189,Elementary School,56%,63%,94.10%,19.60%,21.3,1,63848,111650,B,84,,,
1045,'020905,BRAZOSPORT ISD,MR DANNY MASSEY   ,'020905102,20905102,A P BEUTEL Elementary,REGULAR INSTRUCTIONAL,'481119000580,FREEPORT,LAURA MORRIS   ,'EE-04,572,Elementary School,41%,50%,94.90%,12.60%,40.9,3,65956,86335,B,85,,,
1049,'020905,BRAZOSPORT ISD,MR DANNY MASSEY   ,'020905104,20905104,FREEPORT Elementary,REGULAR INSTRUCTIONAL,'481119000587,FREEPORT,RONALD MERCER   ,'EE-02,616,Elementary School,.,.,93.20%,23.50%,40.4,2.9,62830,79405,C,73,,,
1047,'020905,BRAZOSPORT ISD,MR DANNY MASSEY   ,'020905108,20905108,T W OGG Elementary,REGULAR INSTRUCTIONAL,'481119000592,FREEPORT,MRS MELANIE PIERSON   ,'EE-04,525,Elementary School,43%,41%,94.10%,20.20%,41.5,2,63644,86600,B,83,,,
1050,'020905,BRAZOSPORT ISD,MR DANNY MASSEY   ,'020905109,20905109,O M ROBERTS Elementary,REGULAR INSTRUCTIONAL,'481119000593,FREEPORT,JENNIFER SLATER   ,'EE-04,674,Elementary School,37%,45%,94.20%,18.10%,44.5,3,63048,82483,B,89,,,
1055,'020905,BRAZOSPORT ISD,MR DANNY MASSEY   ,'020905111,20905111,BESS BRANNEN Elementary,REGULAR INSTRUCTIONAL,'481119000581,FREEPORT,JULIE EVANS   ,'EE-04,747,Elementary School,25%,35%,94.90%,12.40%,46,3,63130,86358,A,94,,,
1051,'020905,BRAZOSPORT ISD,MR DANNY MASSEY   ,'020905113,20905113,GLADYS POLK Elementary,REGULAR INSTRUCTIONAL,'481119005413,FREEPORT,MRS AMANDA BUNDICK   ,'EE-04,396,Elementary School,31%,37%,94.30%,18.40%,30.7,2,62012,88555,A,94,,,
1052,'020905,BRAZOSPORT ISD,MR DANNY MASSEY   ,'020905114,20905114,GRIFFITH Elementary,REGULAR INSTRUCTIONAL,'481119006826,FREEPORT,MRS ANDREA HAM   ,'EE-04,493,Elementary School,41%,55%,94.80%,13.30%,37.5,2,61107,87075,A,90,,,
1053,'020905,BRAZOSPORT ISD,MR DANNY MASSEY   ,'020905115,20905115,RASCO Middle,REGULAR INSTRUCTIONAL,'481119016928,FREEPORT,MRS KEITH FULLER   ,'05-06,735,Middle School,48%,63%,94.10%,19.10%,46.6,3,64017,88408,C,77,,,
1054,'020905,BRAZOSPORT ISD,MR DANNY MASSEY   ,'020905116,20905116,O'HARA LANIER Elementary,REGULAR INSTRUCTIONAL,'481119006929,FREEPORT,DAY TIMOTHY   ,'03-05,456,Elementary School,57%,62%,92.60%,23.20%,43.8,3,61767,87478,C,73,,,
1057,'020906,SWEENY ISD,MR DANIEL FULLER   ,'020906002,20906002,SWEENY High School,REGULAR INSTRUCTIONAL,'484197004778,SWEENY,MR TYLER ROWLETT   ,'09-12,597,High School,49%,59%,93.30%,20.70%,44.7,6,65723,81490,B,80,,,
1059,'020906,SWEENY ISD,MR DANIEL FULLER   ,'020906041,20906041,SWEENY Junior High,REGULAR INSTRUCTIONAL,'484197004780,SWEENY,MR CRAYTON HENRY   ,'06-08,453,Middle School,57%,66%,94.50%,18.60%,35.8,3,62459,60052,C,75,,,
1058,'020906,SWEENY ISD,MR DANIEL FULLER   ,'020906104,20906104,SWEENY Elementary,REGULAR INSTRUCTIONAL,'484197005928,SWEENY,MATT WAY   ,'EE-05,869,Elementary School,63%,63%,94.40%,12.10%,57.1,6,62943,76393,C,74,,,
1064,'020907,COLUMBIA-BRAZORIA ISD,MR STEVEN GALLOWAY   ,'020907001,20907001,COLUMBIA High School,REGULAR INSTRUCTIONAL,'481467000958,WEST COLUMBIA,MR JEFFREY KINNEY   ,'09-12,885,High School,45%,85%,91.50%,29.90%,58.3,4,61704,86191,C,77,,,
1063,'020907,COLUMBIA-BRAZORIA ISD,MR STEVEN GALLOWAY   ,'020907005,20907005,BRAZORIA CO J J A E P,JJAEP INSTRUCTIONAL,'481467007530,WEST COLUMBIA,,'06-12,-1,Elementary/Secondary,.,.,.,12.50%,.,.,.,.,Not Rated,0,,,
1060,'020907,COLUMBIA-BRAZORIA ISD,MR STEVEN GALLOWAY   ,'020907042,20907042,WEST BRAZOS Junior High,REGULAR INSTRUCTIONAL,'481467000961,WEST COLUMBIA,MRS LEAH LISERIO   ,'06-08,651,Middle School,51%,62%,92.50%,24.20%,45.1,3,60977,77103,C,76,,,
1061,'020907,COLUMBIA-BRAZORIA ISD,MR STEVEN GALLOWAY   ,'020907102,20907102,WEST COLUMBIA Elementary,REGULAR INSTRUCTIONAL,'481467000960,WEST COLUMBIA,MRS ROXANA BOLTON   ,'KG-05,674,Elementary School,54%,51%,93.50%,17.80%,42,4,60590,77353,C,72,,,
1073,'020907,COLUMBIA-BRAZORIA ISD,MR STEVEN GALLOWAY   ,'020907106,20907106,WILD PEACH Elementary,REGULAR INSTRUCTIONAL,'481467005428,WEST COLUMBIA,MRS ANNE COHEA   ,'EE-01,-1,Elementary School,.,.,91.90%,31.00%,20,2,60848,77830,C,74,,,
1062,'020907,COLUMBIA-BRAZORIA ISD,MR STEVEN GALLOWAY   ,'020907107,20907107,BARROW Elementary,REGULAR INSTRUCTIONAL,'481467009140,WEST COLUMBIA,MISS HANNAH GALLOWAY   ,'02-05,360,Elementary School,56%,59%,93.00%,20.40%,29,2,60019,83325,C,77,,,
1066,'020908,PEARLAND ISD,MR LARRY BERGER   ,'020908001,20908001,PEARLAND High School,REGULAR INSTRUCTIONAL,'483444003863,PEARLAND,MR ADRIAN WASHBURN   ,'09-12,3412,High School,28%,43%,94.40%,14.60%,193.2,10,66510,99210,A,91,,,
1080,'020908,PEARLAND ISD,MR LARRY BERGER   ,'020908002,20908002,BRAZORIA CO J J A E P,JJAEP INSTRUCTIONAL,'483444007531,ANGLETON,,'05-12,-1,Elementary/Secondary,.,.,89.00%,35.70%,.,.,.,.,Not Rated,0,,,
1065,'020908,PEARLAND ISD,MR LARRY BERGER   ,'020908004,20908004,PACE CENTER,ALTERNATIVE INSTRUCTIONAL,'483444009141,PEARLAND,MS KIMBERLY DARDEN   ,'09-12,-1,High School,90%,100%,85.20%,59.50%,18.8,2,65670,102540,A,95,,,
1067,'020908,PEARLAND ISD,MR LARRY BERGER   ,'020908007,20908007,GLENDA DAWSON High School,REGULAR INSTRUCTIONAL,'483444011446,PEARLAND,MR MICHAEL HAMANN   ,'09-12,2569,High School,26%,26%,95.40%,9.30%,143.4,8,66433,98650,A,95,,,
1068,'020908,PEARLAND ISD,MR LARRY BERGER   ,'020908009,20908009,ROBERT TURNER COLLEGE AND CAREER High School,REGULAR INSTRUCTIONAL,'483444012910,PEARLAND,KAI BOUCHARD   ,'09-12,1128,High School,14%,39%,94.70%,12.50%,58.7,5,67426,102566,A,97,,,
1069,'020908,PEARLAND ISD,MR LARRY BERGER   ,'020908041,20908041,PEARLAND Junior High EAST,REGULAR INSTRUCTIONAL,'483444003864,PEARLAND,MR AUDIE JOHNSON   ,'07-08,801,Junior High School,24%,40%,94.20%,12.90%,49.4,3,65386,96299,A,91,,,
1070,'020908,PEARLAND ISD,MR LARRY BERGER   ,'020908042,20908042,PEARLAND Junior High WEST,REGULAR INSTRUCTIONAL,'483444003096,PEARLAND,MRS DANA MILES   ,'07-08,941,Junior High School,20%,34%,96.00%,6.70%,53.5,3,65384,106987,A,92,,,
1071,'020908,PEARLAND ISD,MR LARRY BERGER   ,'020908043,20908043,PEARLAND Junior Highigh SchoolOUTH,REGULAR INSTRUCTIONAL,'483444009142,PEARLAND,MR JASON FRERKING   ,'07-08,764,Junior High School,34%,46%,94.90%,12.10%,50.8,3,65672,101856,B,88,,,
1072,'020908,PEARLAND ISD,MR LARRY BERGER   ,'020908044,20908044,BERRY MILLER Junior High,REGULAR INSTRUCTIONAL,'483444011152,PEARLAND,MR TONY BARCELONA   ,'07-08,827,Junior High School,15%,28%,96.40%,5.00%,48.2,3,64702,97460,A,92,,,
1076,'020908,PEARLAND ISD,MR LARRY BERGER   ,'020908101,20908101,E A LAWHON Elementary,REGULAR INSTRUCTIONAL,'483444003861,PEARLAND,MS VERONICA RODRIGUEZ   ,'EE-04,816,Elementary School,38%,44%,95.10%,8.30%,55.1,2.5,65751,91144,A,91,,,
1075,'020908,PEARLAND ISD,MR LARRY BERGER   ,'020908102,20908102,C Junior HighARRIS Elementary,REGULAR INSTRUCTIONAL,'483444003862,PEARLAND,MS LASHONDA PERNETTER   ,'EE-04,549,Elementary School,42%,59%,94.70%,13.10%,37.5,2,66910,92407,B,82,,,
1074,'020908,PEARLAND ISD,MR LARRY BERGER   ,'020908103,20908103,SHADYCREST Elementary,REGULAR INSTRUCTIONAL,'483444003865,PEARLAND,MR RYAN PETERSON   ,'EE-04,512,Elementary School,24%,32%,95.80%,3.40%,34.5,2,67002,91375,A,90,,,
1077,'020908,PEARLAND ISD,MR LARRY BERGER   ,'020908104,20908104,H C CARLESTON Elementary,REGULAR INSTRUCTIONAL,'483444005570,PEARLAND,MS AMY ETCHBERGER   ,'EE-04,714,Elementary School,58%,64%,94.20%,13.20%,55.2,4,65424,81713,B,86,,,
1081,'020908,PEARLAND ISD,MR LARRY BERGER   ,'020908105,20908105,SAM JAMISON Middle,REGULAR INSTRUCTIONAL,'483444005791,PEARLAND,MS AMANDA GORDON   ,'05-06,728,Middle School,36%,50%,95.10%,10.30%,51.4,3,65755,95688,B,87,,,
1085,'020908,PEARLAND ISD,MR LARRY BERGER   ,'020908106,20908106,CHALLENGER Elementary,REGULAR INSTRUCTIONAL,'483444003114,PEARLAND,BECKY MORRIS   ,'EE-04,614,Elementary School,27%,38%,96.10%,6.00%,38.5,2,65320,93945,A,91,,,
1078,'020908,PEARLAND ISD,MR LARRY BERGER   ,'020908107,20908107,RUSTIC OAK Elementary,REGULAR INSTRUCTIONAL,'483444003116,PEARLAND,MRS BETH WEST   ,'EE-04,645,Elementary School,32%,36%,95.20%,7.90%,39.4,2,67038,103952,A,90,,,
1079,'020908,PEARLAND ISD,MR LARRY BERGER   ,'020908108,20908108,LEON High SchoolABLATURA Middle,REGULAR INSTRUCTIONAL,'483444007532,PEARLAND,MRS VERNA TIPTON   ,'05-06,878,Middle School,24%,31%,96.00%,7.10%,49.7,2.9,66349,96184,A,93,,,
1094,'020908,PEARLAND ISD,MR LARRY BERGER   ,'020908109,20908109,SILVERLAKE Elementary,REGULAR INSTRUCTIONAL,'483444007815,PEARLAND,MS STACIE VAN LOENEN   ,'EE-04,691,Elementary School,23%,24%,96.10%,7.70%,39.3,2,65937,99505,A,94,,,
1082,'020908,PEARLAND ISD,MR LARRY BERGER   ,'020908110,20908110,SILVERCREST Elementary,REGULAR INSTRUCTIONAL,'483444009143,PEARLAND,MS STACIE MURAS   ,'EE-04,704,Elementary School,12%,11%,96.50%,2.50%,39.4,2,65826,92056,A,94,,,
1083,'020908,PEARLAND ISD,MR LARRY BERGER   ,'020908111,20908111,ROGERS Middle,REGULAR INSTRUCTIONAL,'483444009494,PEARLAND,MS AJUNTA THOMAS   ,'05-06,721,Middle School,21%,32%,96.50%,6.10%,41.4,3,65601,94388,A,93,,,
1084,'020908,PEARLAND ISD,MR LARRY BERGER   ,'020908112,20908112,MASSEY RANCH Elementary,REGULAR INSTRUCTIONAL,'483444011153,PEARLAND,MELANIE GROTE   ,'EE-04,541,Elementary School,42%,56%,95.20%,9.50%,41.4,3,65722,93190,B,87,,,
1086,'020908,PEARLAND ISD,MR LARRY BERGER   ,'020908113,20908113,BARBARA COCKRELL Elementary,REGULAR INSTRUCTIONAL,'483444011483,PEARLAND,MS AMANDA WINDSOR   ,'EE-04,741,Elementary School,33%,34%,95.10%,9.50%,49.3,2.5,65574,92579,A,90,,,
1087,'020908,PEARLAND ISD,MR LARRY BERGER   ,'020908114,20908114,MAGNOLIA Elementary,REGULAR INSTRUCTIONAL,'483444011561,PEARLAND,DR KRISTINE SOLBERG   ,'EE-04,703,Elementary School,25%,37%,95.30%,6.60%,46.3,2,66170,95664,A,93,,,
1088,'020908,PEARLAND ISD,MR LARRY BERGER   ,'020908115,20908115,ALEXANDER Middle,REGULAR INSTRUCTIONAL,'483444011469,PEARLAND,ANDREA CLAYTON   ,'05-06,765,Middle School,27%,26%,95.40%,7.60%,43.5,3,65702,92348,A,92,,,
1091,'020910,DAMON ISD,DAVID HAYWARD   ,'020910101,20910101,DAMON Elementary,REGULAR INSTRUCTIONAL,'481626001391,DAMON,MR DAVID HAYWARD   ,'PK-08,107,Elementary School,48%,63%,93.90%,23.40%,16,1.5,58344,95833,C,78,,,
1097,'021901,COLLEGE STATION ISD,DR TIM HARKRIDER   ,'021901001,21901001,A & M CONS High School,REGULAR INSTRUCTIONAL,'480735000001,COLLEGE STATION,MRS GWEN ELDER   ,'09-12,2166,High School,32%,48%,93.70%,17.80%,133.1,6.6,57302,85302,B,83,,,
1099,'021901,COLLEGE STATION ISD,DR TIM HARKRIDER   ,'021901003,21901003,COLLEGE STATION High School,REGULAR INSTRUCTIONAL,'480735012482,COLLEGE STATION,MR JUSTIN GRIMES   ,'09-12,2226,High School,36%,37%,94.20%,17.50%,141.1,5.6,57423,87972,B,81,,,
1098,'021901,COLLEGE STATION ISD,DR TIM HARKRIDER   ,'021901004,21901004,COLLEGE VIEW High School,REGULAR INSTRUCTIONAL,'480735013429,COLLEGE STATION,MR CHRIS SOUTHARD   ,'09-12,95,High School,31%,59%,90.20%,38.50%,9.1,0.6,60308,95288,B,84,,,
1100,'021901,COLLEGE STATION ISD,DR TIM HARKRIDER   ,'021901005,21901005,CVHS ACCELERATED ACADEMY,ALTERNATIVE INSTRUCTIONAL,'480735022791,COLLEGE STATION,MR CHRIS SOUTHARD   ,'09-12,-1,High School,88%,0%,72.90%,87.50%,3.6,0.6,63024,95288,B,86,,,
1101,'021901,COLLEGE STATION ISD,DR TIM HARKRIDER   ,'021901015,21901015,COLLEGE STATION JJAEP,JJAEP INSTRUCTIONAL,'480735010464,COLLEGE STATION,MRS CHRISSY HESTER   ,'03-12,4,Elementary/Secondary,0%,0%,.,.,.,.,.,.,Not Rated,0,,,
1108,'021901,COLLEGE STATION ISD,DR TIM HARKRIDER   ,'021901041,21901041,COLLEGE STATION Middle,REGULAR INSTRUCTIONAL,'480735000003,COLLEGE STATION,MR JOSHUA RHINE   ,'07-08,582,Junior High School,47%,50%,95.30%,10.20%,46.1,1.2,58093,92996,B,80,,,
1102,'021901,COLLEGE STATION ISD,DR TIM HARKRIDER   ,'021901042,21901042,A & M CONSOLIDATED Middle,REGULAR INSTRUCTIONAL,'480735008712,COLLEGE STATION,MR OMAR ESPITIA   ,'07-08,681,Junior High School,38%,48%,94.80%,16.90%,50.9,3.2,54205,80165,B,80,,,
1105,'021901,COLLEGE STATION ISD,DR TIM HARKRIDER   ,'021901043,21901043,WELLBORN Middle,REGULAR INSTRUCTIONAL,'480735013650,COLLEGE STATION,MR JEREMY STEWART   ,'07-08,843,Junior High School,26%,35%,96.30%,7.00%,56.8,1.2,55602,93616,A,91,,,
1103,'021901,COLLEGE STATION ISD,DR TIM HARKRIDER   ,'021901101,21901101,SOUTH KNOLL Elementary,REGULAR INSTRUCTIONAL,'480735000004,COLLEGE STATION,MS LAURA RICHTER   ,'EE-04,560,Elementary School,59%,50%,94.90%,13.20%,47.2,2,56550,83148,C,78,,,
1104,'021901,COLLEGE STATION ISD,DR TIM HARKRIDER   ,'021901102,21901102,COLLEGE HILLS Elementary,REGULAR INSTRUCTIONAL,'480735000002,COLLEGE STATION,MS KATHERINE ALLEN   ,'EE-04,600,Elementary School,57%,66%,94.60%,16.10%,46.5,1.1,56385,85684,D,68,,,
1106,'021901,COLLEGE STATION ISD,DR TIM HARKRIDER   ,'021901104,21901104,SOUTHWOOD VALLEY Elementary,REGULAR INSTRUCTIONAL,'480735005839,COLLEGE STATION,MRS ALISON DELUNA   ,'EE-04,656,Elementary School,63%,64%,95.60%,10.40%,49.3,2,55408,79925,C,76,,,
1107,'021901,COLLEGE STATION ISD,DR TIM HARKRIDER   ,'021901105,21901105,ROCK PRAIRIE Elementary,REGULAR INSTRUCTIONAL,'480735006636,COLLEGE STATION,MR JEFF DURAND   ,'EE-04,538,Elementary School,57%,59%,94.70%,14.80%,42.6,2,57631,83461,B,83,,,
1110,'021901,COLLEGE STATION ISD,DR TIM HARKRIDER   ,'021901107,21901107,PEBBLE CREEK Elementary,REGULAR INSTRUCTIONAL,'480735007192,COLLEGE STATION,MRS BLAIR GRANDE   ,'EE-04,628,Elementary School,40%,46%,95.60%,8.60%,41.6,2,55898,75937,B,87,,,
1113,'021901,COLLEGE STATION ISD,DR TIM HARKRIDER   ,'021901108,21901108,FOREST RIDGE,REGULAR INSTRUCTIONAL,'480735010465,COLLEGE STATION,MRS TERRESA KATT   ,'EE-04,489,Elementary School,28%,26%,96.10%,5.70%,37.5,2,56056,96911,A,94,,,
1109,'021901,COLLEGE STATION ISD,DR TIM HARKRIDER   ,'021901109,21901109,CREEK VIEW Elementary,REGULAR INSTRUCTIONAL,'480735012023,COLLEGE STATION,MR MIKE MCEVER   ,'EE-04,437,Elementary School,55%,40%,95.80%,9.30%,36.6,2,55994,77091,B,87,,,
1112,'021901,COLLEGE STATION ISD,DR TIM HARKRIDER   ,'021901110,21901110,GREENS PRAIRIE Elementary,REGULAR INSTRUCTIONAL,'480735012479,COLLEGE STATION,MRS DONNA BAIRRINGTON   ,'EE-04,510,Elementary School,37%,43%,96.60%,3.50%,38.4,3,56417,74570,A,90,,,
1111,'021901,COLLEGE STATION ISD,DR TIM HARKRIDER   ,'021901111,21901111,SPRING CREEK Elementary,REGULAR INSTRUCTIONAL,'480735013081,COLLEGE STATION,MRS MINDY CHAPA   ,'EE-04,696,Elementary School,29%,35%,96.00%,5.70%,47.2,2,55434,77535,A,91,,,
1116,'021901,COLLEGE STATION ISD,DR TIM HARKRIDER   ,'021901112,21901112,RIVER BEND Elementary,REGULAR INSTRUCTIONAL,'480735013808,COLLEGE STATION,MRS HEATHER SHERMAN   ,'EE-04,519,Elementary School,44%,50%,94.60%,11.90%,44,1.1,55854,81794,A,91,,,
1115,'021901,COLLEGE STATION ISD,DR TIM HARKRIDER   ,'021901201,21901201,OAKWOOD Intermediate,REGULAR INSTRUCTIONAL,'480735008129,COLLEGE STATION,MR ROCCO GRANDE   ,'05-06,729,Middle School,42%,42%,95.10%,13.10%,51.7,2,57755,79976,B,81,,,
1114,'021901,COLLEGE STATION ISD,DR TIM HARKRIDER   ,'021901202,21901202,CYPRESS GROVE Intermediate,REGULAR INSTRUCTIONAL,'480735008130,COLLEGE STATION,MRS PIPER CAMERON   ,'05-06,556,Middle School,42%,49%,94.90%,11.00%,38.3,2,57065,75368,C,79,,,
1118,'021901,COLLEGE STATION ISD,DR TIM HARKRIDER   ,'021901203,21901203,PECAN TRAIL Intermediate,REGULAR INSTRUCTIONAL,'480735013424,COLLEGE STATION,MRS BRITTANY CAIN   ,'05-06,779,Middle School,28%,33%,95.80%,9.50%,47.4,2,55317,84450,A,90,,,
1117,'021902,BRYAN ISD,MRS GINGER CARRABINE   ,'021902001,21902001,TRAVIS B BRYAN High School,REGULAR INSTRUCTIONAL,'481179000682,BRYAN,MR LANE BUBAN   ,'09-12,2426,High School,59%,76%,90.60%,34.00%,181.4,12.5,58245,81780,C,77,,,
1119,'021902,BRYAN ISD,MRS GINGER CARRABINE   ,'021902002,21902002,JAMES EARL RUDDER High School,REGULAR INSTRUCTIONAL,'481179011154,BRYAN,MRS RACHEL LAYTON   ,'09-12,1697,High School,68%,87%,90.70%,33.90%,130.6,11.2,57154,79375,C,74,,,
1122,'021902,BRYAN ISD,MRS GINGER CARRABINE   ,'021902003,21902003,BRYAN COLLEGIATE High School,REGULAR INSTRUCTIONAL,'481179011507,BRYAN,DR DESIREE CAPERTON   ,'09-12,465,High School,5%,48%,96.40%,7.70%,21.6,3.5,56934,77661,A,97,,,
1124,'021902,BRYAN ISD,MRS GINGER CARRABINE   ,'021902012,21902012,DISCIPLINARY ALTERNATIVE EDUCATIONAL PROGAM (DAEP),DAEP INSTRUCTIONAL,'481179007816,BRYAN,DR KAREN KASPAR   ,'05-12,81,Elementary/Secondary,.,.,82.20%,48.20%,13,4.5,58670,68227,Not Rated,0,,,
1120,'021902,BRYAN ISD,MRS GINGER CARRABINE   ,'021902014,21902014,BRAZOS CO JUVENILE DETENTION CENTER,ALTERNATIVE INSTRUCTIONAL,'481179008456,BRYAN,DR KAREN KASPAR   ,'04-12,23,Elementary/Secondary,.,.,100.00%,0.00%,3.8,0.3,54616,111513,Not Rated,0,,,
1121,'021902,BRYAN ISD,MRS GINGER CARRABINE   ,'021902015,21902015,BRAZOS COUNTY JJAEP,JJAEP INSTRUCTIONAL,'481179009145,BRYAN,MR TODD MCKEY   ,'04-12,9,Elementary/Secondary,.,.,87.80%,46.70%,.,.,.,.,Not Rated,0,,,
1125,'021902,BRYAN ISD,MRS GINGER CARRABINE   ,'021902017,21902017,THE MARY CATHERINE HARRIS SCHOOL-SCHOOL OF CHOICE,ALTERNATIVE INSTRUCTIONAL,'481179011886,BRYAN,DR KAREN KASPAR   ,'06-12,195,Elementary/Secondary,89%,98%,64.70%,80.50%,18.3,4.3,58686,67545,C,71,,,
1128,'021902,BRYAN ISD,MRS GINGER CARRABINE   ,'021902041,21902041,STEPHEN F AUSTIN,REGULAR INSTRUCTIONAL,'481179021133,BRYAN,MRS KIM GIESENSCHLAG   ,'07-08,1177,Junior High School,60%,71%,92.70%,24.20%,84.7,9.3,54939,68578,C,72,,,
